Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
466,0.16,-2.4,0,28,80
467,0.03,-0.4,0,13.4,80
468,0.02,-0.3,0,0.8,0
469,0.06,-0.9,0,-4.5,-80
470,0.2,-3,0,-13.5,-80
471,0.29,-4.4,0,-9.4,-80
472,0.34,-5.1,0,-4.9,-80
473,0.39,-5.8,0,-4.5,-80
474,0.34,-5.1,0,4.8,0
475,0.37,-5.6,0,-3.5,-80
476,0.71,-10.7,0,-34,-80
477,0.63,-9.4,0,8.4,0
478,0.36,-5.3,0,27.3,80
479,-0.09,1.4,0,44.8,80
480,-0.36,5.4,0,26.6,80
481,-0.41,6.1,0,4.9,80
482,-0.37,5.5,0,-4,80
483,-0.28,4.3,0,-8.3,-80
484,-0.31,4.6,0,2.2,80
485,-0.21,3.2,0,-9.5,-80
486,0.04,-0.6,0,-25.1,-80
487,0.23,-3.5,0,-19.3,-80
488,0.77,-11.5,0,-53.5,-80
489,0.57,-8.6,0,19.6,80
490,0.34,-5.1,0,23.3,80
491,0.11,-1.7,0,22.6,80
492,0.05,-0.8,0,6.1,80
493,0.08,-1.2,0,-3.2,-80
494,0.15,-2.2,0,-6.4,-80
495,0.2,-3,0,-5.4,-80
496,0.37,-5.6,0,-17.2,-80
497,0.29,-4.4,0,8.2,80
498,0,-0.1,0,28.7,80
499,-0.08,1.1,0,8.1,80
500,-0.13,2,0,5.5,80
501,-0.03,0.4,0,-10.3,-80
502,0.04,-0.6,0,-6.9,-80
503,0.1,-1.6,0,-6.2,-80
504,0.24,-3.7,0,-14,-80
505,0.36,-5.4,0,-11.6,-80
506,0.38,-5.7,0,-2.1,-80
507,0.2,-3,0,18.3,80
508,-0.11,1.7,0,31,80
509,-0.1,1.5,0,-1.5,0
510,-0.38,5.7,0,28.2,80
511,-0.46,6.9,0,8.1,80
512,-0.49,7.4,0,3,80
513,-0.46,6.8,0,-3.5,80
514,-0.41,6.2,0,-4.1,80
515,-0.43,6.4,0,1.4,80
516,-0.39,5.9,0,-3.6,80
517,-0.2,2.9,0,-19.7,-80
518,0.01,-0.2,0,-20.9,-80
519,0.42,-6.3,0,-40.6,-80
520,0.66,-9.9,0,-24.2,-80
521,0.8,-11.9,0,-13.5,-80
522,0.91,-13.6,0,-11.2,-80
523,1.02,-15.3,0,-11.2,-80
524,0.93,-14,0,8.5,-50
525,0.62,-9.2,0,31.9,80
526,0.49,-7.3,0,12.7,80
527,0.11,-1.6,0,38.4,80
528,-0.1,1.6,0,20.9,80
529,-0.21,3.2,0,11,80
